africa;population2018;internetUsers31Dec2000;internetUsers31Dec2017;penetrationPop;internetGrowth;facebookSubscribers31Dec2017
Algeria;42008054;50000;18580000;44.2;37060;19000000
Angola;30774205;30000;5951453;19.3;19738;3800000
Benin;11458674;15000;3801758;33.1;25245;920000
Botswana;2333201;15000;923528;39.6;6057;830000
Burkina-Faso;19751651;10000;3704265;18.8;36942;840000
Burundi;11216450;3000;617116;5.5;20470;450000
Cabo-Verde;553335;8000;265972;48.1;3225;240000
Cameroon;24678234;20000;6128422;24.8;30542;2700000
Central-African-Rep;4737423;1500;256432;5.4;16995;96000
Chad;15353184;1000;768274;5.0;76727;260000
Comoros;832347;1500;130578;15.7;8605;120000
Congo;5399895;500;650000;12.0;129900;600000
Congo-DemRep;84004989;500;5137271;6.1;1027354;2100000
Cote-Ivoire;24905843;40000;6318355;26.3;16246;3800000
Djibouti;971408;1400;180000;18.5;12757;180000
Egypt;99375741;450000;49231493;49.5;10840;35000000
Equatorial-Guinea;1313894;500;312704;23.8;62441;67000
Eritrea;5187948;5000;71000;1.4;1320;63000
Ethiopia;107534882;10000;16437811;15.3;164278;4500000
Gabon;2067561;15000;985492;47.7;6470;620000
Gambia;2163765;4000;392277;18.1;9707;310000
Ghana;29463643;30000;10110000;34.3;33600;4900000
Guinea;13052608;8000;1602485;12.3;19931;1500000
Guinea-Bissau;1907268;1500;120000;6.3;7900;110000
Kenya;50950879;200000;43329434;85.0;21564;7000000
Lesotho;2263010;4000;627860;27.7;15596;310000
Liberia;4853516;500;395063;8.1;78912;330000
Libya;6470956;10000;3800000;58.7;37900;3500000
Madagascar;26262810;30000;1900000;7.2;6233;1700000
Malawi;19164728;15000;1828503;9.5;12090;720000
Mali;19107706;18800;12480176;65.3;66283;1500000
Mauritania;4540068;5000;810000;17.8;16100;770000
Mauritius;1268315;87000;803896;63.4;824;700000
Mayotte-(FR);259682;n/a;107940;41.6;n/a;71000
Morocco;36191805;100000;22567154;62.4;22467;15000000
Mozambique;30528673;30000;5279135;17.3;17497;1800000
Namibia;2587801;30000;797027;30.8;2557;570000
Niger;22311375;5000;951548;4.3;18931;440000
Nigeria;195875237;200000;98391456;50.2;49096;17000000
Reunion-(FR);883247;130000;480000;54.3;269;420000
Rwanda;12501156;5000;3724678;29.8;74393;490000
Saint-Helena-(UK);4049;n/a;2200;54.3;n/a;1700
Sao-Tome&Principe;208818;6500;57875;27.7;790;52000
Senegal;16294270;40000;9749527;59.8;24274;2900000
Seychelles;95235;6000;67119;70.5;1018;61000
"Sierra-Leone";7719729;5000;902462;11.7;17949;450000
Somalia;15181925;200;1200000;7.9;599900;1100000
South-Africa;57398421;2400000;30815634;53.7;1184;16000000
South-Sudan;12919053;n/a;2229963;17.3;n/a;180000
Sudan;41511526;30000;11816570;28.5;39288;2600000
Swaziland;1391385;10000;446051;32.1;4360;170000
Tanzania;59091392;115000;23000000;38.9;19900;6100000
Togo;7990926;100000;899956;11.3;800;560000
Tunisia;11659174;100000;7898534;67.7;7798;6400000
Uganda;44270563;40000;19000000;42.9;47400;2600000
Western-Sahara;561257;n/a;28000;5.0;n/a;24000
Zambia;17609178;20000;7248773;41.2;36144;1600000
Zimbabwe;16913261;50000;6796314;40.2;13492;880000
TOTAL-AFRICA;1287914329;4514400;453329534;35.2;9942;177005700
Rest-of-World;6346844099;831;3703602606;58.4;891;1942054452
WORLD-TOTAL;7634758428;1000;4156932140;54.4;1000;2119060152
